BaronKills,DominionVictoryScore,DragonKills,FirstBaron,FirstBlood,FirstDragon,FirstInhibitor,FirstTower,InhibitorKills,TeamId,TowerKills,VilemawKills,Winner,MatchId
0,0,0,False,False,False,False,False,0,100,0,0,False,2483257467
0,0,2,False,False,True,False,True,0,200,4,0,False,2483259532
2,0,3,True,True,False,True,False,3,100,9,0,True,2483259532
0,0,1,False,False,True,False,False,0,200,3,0,False,2483408038
2,0,2,True,True,False,True,True,3,100,11,0,True,2483408038
0,0,3,False,True,True,True,True,1,200,9,0,True,2483452133
1,0,0,True,False,False,False,False,0,100,1,0,False,2483452133
0,0,2,False,True,True,True,True,3,200,11,0,True,2483454369
0,0,0,False,False,False,False,False,0,100,0,0,False,2483454369
1,0,4,True,False,True,True,True,3,100,11,0,True,2483457143
0,0,0,False,True,False,False,False,0,200,1,0,False,2483457143
0,0,0,False,False,False,False,True,0,100,2,0,False,2483463532
1,0,3,True,True,True,True,False,1,200,9,0,True,2483463532
0,0,0,False,False,False,False,False,0,200,1,0,False,2483483259
1,0,4,True,True,True,True,True,1,100,6,0,True,2483483259
0,0,2,False,True,True,True,True,2,200,9,0,True,2483509401
0,0,0,False,False,False,False,False,0,100,0,0,False,2483509401
0,0,1,False,False,True,True,True,1,200,8,0,True,2483515409
0,0,1,False,True,False,False,False,0,100,0,0,False,2483515409
0,0,2,False,False,True,False,True,0,100,3,0,False,2483517792
1,0,1,True,True,False,True,False,1,200,7,0,True,2483517792
1,0,2,False,False,False,False,False,2,200,6,0,False,2483518235
1,0,4,True,True,True,True,True,3,100,10,0,True,2483518235
0,0,1,False,False,False,True,True,2,100,10,0,True,2483537974
0,0,1,False,True,True,False,False,0,200,0,0,False,2483537974
1,0,5,True,True,True,True,True,4,100,10,0,True,2483549204
0,0,0,False,False,False,False,False,0,200,5,0,False,2483549204
1,0,2,True,False,False,False,True,1,200,7,0,False,2483576490
1,0,3,False,True,True,True,False,3,100,10,0,True,2483576490
0,0,3,False,True,True,True,True,1,100,9,0,True,2483577983
1,0,0,True,False,False,False,False,0,200,1,0,False,2483577983
1,0,1,True,False,False,True,False,2,100,9,0,True,2483580508
0,0,2,False,True,True,False,True,0,200,5,0,False,2483580508
1,0,2,True,False,True,True,False,1,100,8,0,True,2483595488
0,0,0,False,True,False,False,True,0,200,4,0,False,2483595488
0,0,2,False,False,False,False,False,3,200,9,0,True,2483612427
1,0,3,True,True,True,True,True,1,100,7,0,False,2483612427
1,0,2,True,True,False,False,True,0,200,3,0,False,2483633544
1,0,3,False,False,True,True,False,1,100,8,0,True,2483633544
0,0,0,False,True,False,False,False,0,100,0,0,False,2483637170
0,0,2,False,False,True,True,True,2,200,10,0,True,2483637170
0,0,1,False,True,False,False,False,0,200,1,0,False,2483648800
1,0,2,True,False,True,True,True,2,100,10,0,True,2483648800
1,0,2,True,True,True,True,False,1,100,7,0,True,2483662218
0,0,0,False,False,False,False,True,0,200,3,0,False,2483662218
0,0,2,False,True,True,True,True,1,100,8,0,True,2483663814
0,0,0,False,False,False,False,False,0,200,0,0,False,2483663814
0,0,3,False,True,True,True,True,1,200,9,0,True,2483677970
0,0,0,False,False,False,False,False,0,100,0,0,False,2483677970
1,0,2,True,True,True,True,True,1,200,7,0,True,2483701978
